"RSpeed [rpm]","Giris Torku [kNewtonMeter]"
1200,0
1201.2,6.908064885
1202.4,13.7711082
1203.6,20.507326275
1204.8,27.041571674
1206,33.307669797
1207.2,39.248592543
1208.4,44.819105071
1209.6,49.999046784
1210.8,54.777832023
1212,59.134734704
1214.4,66.588166567
1216.8,72.889384375
1219.2,78.144618811
1221.6,82.218546018
1224,85.142636938
1226.4,87.163606664
1228.8,88.435349803
1231.2,89.09093689
1233.6,89.24454433
1236,88.996747661
1242,87.134091431
1248,84.215157263
1254,80.67080455
1260,76.998340864
1266,73.438065825
1272,70.083741418
1278,66.97558968
1284,64.123820064
1290,61.522427346
1296,59.155356976
1308,55.062695978
1320,51.692538665
1332,48.912204396
1344,46.610538369
1356,44.696225105
1368,43.100073211
1380,41.764634725
1392,40.635284821
1404,39.69655884
1416,38.899343483
1428,38.225421593
1440,37.654816096
1452,37.170971416
1464,36.76009342
1476,36.41062306
1488,36.11282448
1500,35.858460244
1512,35.640533242
1524,35.453079982
1536,35.291003766
1548,35.149939028
1560,35.026140228
1572,34.916390192
1584,34.817924007
1596,34.728365408
1608,34.640564644
1620,34.568074954
1632,34.49413509
1644,34.422508276
1656,34.352124903
1668,34.282060204
1680,34.206526861
1692,34.139870292
1704,34.066595479
1716,33.991194096
1728,33.913327469
1740,33.827891667
1752,33.749086949
1764,33.662369833
1776,33.572364812
1788,33.479018551
1800,33.371843579
